,cc,folder,scan_number
0,0.47822125292664786,run0,0
1,0.4406107876665474,run0,1
2,0.6993581292138191,run1,2
3,0.5828442686686908,run1,3
4,0.5132833089627975,run1,4
5,0.586798938838706,run1,5
6,0.6012724226401408,run10,24
7,0.4719914334750677,run10,25
8,0.6458333139427961,run11,26
9,0.7159369918651233,run11,27
10,0.6761954757349294,run12,28
11,0.6238519767489005,run12,29
12,0.09117032894447719,run13,30
13,-0.039637746313919565,run13,31
14,0.42533162300909966,run14,32
15,0.5822072308873352,run14,33
16,0.5326522193091309,run15,34
17,0.3127304443202863,run15,35
18,-0.014670466320745913,run16,36
19,0.34776700241022784,run16,37
20,0.6203214463767415,run17,38
21,0.5854587760779697,run17,39
22,0.16141882585221093,run18,40
23,0.376104357870441,run18,41
24,0.19574805069352846,run19,42
25,0.26797276016276106,run19,43
26,0.31723038288550326,run2,6
27,-0.022404441064545803,run2,7
28,0.44588689090697264,run2,8
29,0.6264695976773467,run2,9
30,0.2150239763403066,run20,44
31,0.23377719814239728,run20,45
32,0.29648020234324096,run21,46
33,0.42069007929131313,run21,47
34,0.2958971490243997,run22,48
35,0.30651214951812356,run22,49
36,0.6332619818879514,run23,50
37,0.6804336888565057,run23,51
38,0.7079487693803205,run23,52
39,0.6945046385198754,run23,53
40,0.48534639054253553,run24,54
41,0.6563879099300252,run24,55
42,0.6411799431277544,run25,56
43,0.18622720843730978,run25,57
44,0.3384126045399981,run25,58
45,0.7869521125243504,run25,59
46,0.4800756666517001,run26,60
47,0.34602705081278234,run26,61
48,0.3714509499323353,run26,62
49,0.30121286377861795,run26,63
50,0.6738834720835406,run27,64
51,0.46432629063464864,run27,65
52,0.6867067863351554,run27,66
53,0.6420828762651556,run27,67
54,0.3482094907793042,run28,68
55,0.5500697309030269,run28,69
56,0.5675834881989229,run29,70
57,0.3767428744141873,run29,71
58,0.013137079586261988,run3,10
59,0.4170500287603901,run3,11
60,0.6183170142987111,run30,72
61,0.47107668779487166,run30,73
62,0.59281340690065,run31,74
63,0.6994619702312366,run31,75
64,0.6002878402440288,run32,76
65,0.5462658856358754,run32,77
66,-0.0356056808154658,run33,78
67,0.5156129744837584,run33,79
68,0.4497933079304104,run33,80
69,0.2630373263528432,run33,81
70,0.8224933761586957,run34,82
71,0.7159232838962505,run34,83
72,0.5556485446843256,run35,84
73,0.5708110215561221,run35,85
74,0.40620188042814587,run36,86
75,0.4805344377835758,run36,87
76,0.5785145770754652,run36,88
77,0.6566870351863366,run36,89
78,0.3623731938823507,run37,90
79,0.6854849182156166,run37,91
80,0.46386392386974706,run37,92
81,0.6919956643691376,run37,93
82,0.41628036980983524,run38,94
83,0.29214990133567365,run38,95
84,0.655308050785485,run39,96
85,0.691098809078093,run39,97
86,0.20382680910063983,run4,12
87,0.645515423462644,run4,13
88,0.8171780141206176,run40,98
89,0.693933764852784,run40,99
90,0.7728284818132245,run40,100
91,0.8220848255415456,run40,101
92,0.5214185176447592,run41,102
93,0.652239328495203,run41,103
94,0.3619492722159497,run42,104
95,0.3059068075309916,run42,105
96,0.6910766012995609,run43,106
97,0.7483374025408779,run43,107
98,0.3980535774530262,run44,108
99,0.3381975866547975,run44,109
100,0.3527688313655501,run45,110
101,0.19878319911580986,run45,111
102,0.19532083969396447,run46,112
103,0.4575836101574102,run46,113
104,0.7529727477008421,run47,114
105,0.6520966025220679,run47,115
106,0.7338078812437863,run47,116
107,0.3899851555561807,run47,117
108,0.3286888841344586,run48,118
109,-0.11409841317326425,run48,119
110,0.5045129541785969,run49,120
111,0.07905340690908515,run49,121
112,0.3825594476735896,run5,14
113,0.5293802307455934,run5,15
114,0.4564506949821211,run50,122
115,0.5766509673431796,run50,123
116,0.5158010433454044,run50,124
117,0.518773575509611,run50,125
118,0.7208445521724951,run51,126
119,0.6680676361800634,run51,127
120,-0.20230959306338692,run52,128
121,-0.3311997846898245,run52,129
122,0.7731858343928373,run53,130
123,0.5182259795448134,run53,131
124,0.6276139225613173,run54,132
125,0.5752205169333324,run54,133
126,0.7740010642690089,run55,134
127,0.7527965410408315,run55,135
128,0.5593268644742122,run56,136
129,0.4578258370394781,run56,137
130,0.2495941743892743,run6,16
131,0.3693006782466716,run6,17
132,0.5989967267793873,run7,18
133,0.8117052333897433,run7,19
134,0.7207048880130049,run8,20
135,0.5499564563441401,run8,21
136,0.39179534305972374,run9,22
137,0.7070186076290689,run9,23
